Source	Scraped
https://www.hr360.com/WorkArea/DownloadAsset.aspx?id=1166	FALSE
https://www.adecco.ca/en-ca/blog/how-to-answer-these-personality-questions-in-your-next-interview/	FALSE
https://law.lclark.edu/live/files/30103-definitive-guide-to-legal-interview-questions	FALSE
https://www.reed.co.uk/career-advice/common-interview-questions-and-answers/	FALSE
https://github.com/DopplerHQ/awesome-interview-questions	FALSE
https://evalogue.life/tools-and-resources/oral-history-interview-questions-and-resources/great-interview-questions/	FALSE
https://www.contractrecruiter.com/list-behavioral-interview-questions/	FALSE
https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/top-nine-tricky-interview-questions-and-how-answer-them	FALSE
https://jobs.theguardian.com/article/the-top-ten-interview-questions-and-how-to-answer-them	FALSE
https://www.wisebread.com/how-to-answer-23-of-the-most-common-interview-questions	FALSE
https://www.nfib.com/member-vantage/employee-management/interview-questions/	FALSE
https://www.marincounty.org/~/media/files/departments/hr/toolkits/interview-question-library.pdf?la=en	FALSE
https://social.hays.com/2019/05/30/job-interview-questions-how-to-answer-them/	FALSE
https://resources.biginterview.com/job-interview-questions/	FALSE
https://www.jobs.ie/job-talk/most-common-interview-questions/	FALSE
https://careers.uiowa.edu/careerbuzz/201509/10-things-do-right-interview	FALSE
